,airport_code,location,name
64,MGM,"Montgomery, AL", Montgomery Regional
65,MKE,"Milwaukee, WI", General Mitchell International
66,MLI,"Moline, IL", Quad City International
67,MLU,"Monroe, LA", Monroe Regional
68,MOB,"Mobile, AL", Mobile Regional
69,MOT,"Minot, ND", Minot International
70,MSN,"Madison, WI", Dane County Regional-Truax Field
71,MSP,"Minneapolis, MN", Minneapolis-St Paul International
72,MYR,"Myrtle Beach, SC", Myrtle Beach International
73,OAJ,"Jacksonville/Camp Lejeune, NC", Albert J Ellis
74,OMA,"Omaha, NE", Eppley Airfield
75,ORD,"Chicago, IL", Chicago O'Hare International
76,ORF,"Norfolk, VA", Norfolk International
77,ORH,"Worcester, MA", Worcester Regional
78,PIT,"Pittsburgh, PA", Pittsburgh International
79,PVD,"Providence, RI", Theodore Francis Green State
80,RDU,"Raleigh/Durham, NC", Raleigh-Durham International
81,RIC,"Richmond, VA", Richmond International
82,ROA,"Roanoke, VA", Roanoke Blacksburg Regional Woodrum Field
83,ROC,"Rochester, NY", Greater Rochester International
84,RST,"Rochester, MN", Rochester International
85,SAV,"Savannah, GA", Savannah/Hilton Head International
86,SBN,"South Bend, IN", South Bend International
87,SDF,"Louisville, KY", Louisville Muhammad Ali International
88,SGF,"Springfield, MO", Springfield-Branson National
89,SHV,"Shreveport, LA", Shreveport Regional
90,STL,"St. Louis, MO", St Louis Lambert International
91,SYR,"Syracuse, NY", Syracuse Hancock International
92,TLH,"Tallahassee, FL", Tallahassee International
93,TRI,"Bristol/Johnson City/Kingsport, TN", Tri Cities
94,TVC,"Traverse City, MI", Cherry Capital
95,TYS,"Knoxville, TN", McGhee Tyson
96,VLD,"Valdosta, GA", Valdosta Regional
97,XNA,"Fayetteville, AR", Northwest Arkansas Regional
98,ABQ,"Albuquerque, NM", Albuquerque International Sunport
99,AMA,"Amarillo, TX", Rick Husband Amarillo International
100,ANC,"Anchorage, AK", Ted Stevens Anchorage International
